196	15			
3	3	12	1	113
3	10	20	1	129
3	17	16	1	119
3	25	12	1	192
3	32	17	1	106
3	39	15	1	172
3	46	14	1	174
3	53	14	1	110
3	60	20	1	133
3	67	11	1	135
3	75	13	1	167
3	82	11	1	190
3	89	10	1	174
3	96	18	1	163
10	3	16	1	100
10	10	19	1	161
10	17	20	1	180
10	25	16	1	192
10	32	11	1	193
10	39	14	1	196
10	46	18	1	191
10	53	16	1	128
10	60	20	1	121
10	67	14	1	168
10	75	12	1	117
10	82	19	1	190
10	89	16	1	119
10	96	20	1	116
17	3	12	1	151
17	10	19	1	194
17	17	15	1	172
17	25	20	1	169
17	32	16	1	161
17	39	19	1	106
17	46	19	1	128
17	53	19	1	142
17	60	20	1	179
17	67	10	1	182
17	75	15	1	131
17	82	15	1	148
17	89	20	1	132
17	96	16	1	181
25	3	10	1	198
25	10	11	1	180
25	17	19	1	196
25	25	18	1	166
25	32	10	1	141
25	39	19	1	132
25	46	18	1	147
25	53	10	1	173
25	60	10	1	160
25	67	12	1	114
25	75	14	1	198
25	82	20	1	131
25	89	11	1	114
25	96	11	1	186
32	3	10	1	156
32	10	10	1	131
32	17	19	1	181
32	25	15	1	111
32	32	10	1	176
32	39	20	1	140
32	46	18	1	192
32	53	12	1	148
32	60	18	1	107
32	67	20	1	192
32	75	17	1	163
32	82	10	1	138
32	89	17	1	199
32	96	11	1	143
39	3	14	1	119
39	10	20	1	181
39	17	17	1	100
39	25	14	1	165
39	32	14	1	166
39	39	10	1	118
39	46	16	1	105
39	53	10	1	166
39	60	11	1	198
39	67	13	1	145
39	75	13	1	166
39	82	13	1	148
39	89	11	1	139
39	96	10	1	163
46	3	19	1	168
46	10	19	1	164
46	17	19	1	178
46	25	11	1	176
46	32	20	1	162
46	39	16	1	186
46	46	10	1	175
46	53	10	1	177
46	60	10	1	105
46	67	16	1	160
46	75	11	1	118
46	82	17	1	170
46	89	12	1	164
46	96	19	1	122
53	3	14	1	117
53	10	16	1	155
53	17	17	1	128
53	25	16	1	184
53	32	11	1	173
53	39	20	1	196
53	46	17	1	108
53	53	16	1	105
53	60	18	1	119
53	67	14	1	167
53	75	10	1	195
53	82	20	1	121
53	89	15	1	154
53	96	15	1	155
60	3	18	1	180
60	10	12	1	135
60	17	15	1	149
60	25	15	1	127
60	32	14	1	187
60	39	20	1	131
60	46	16	1	118
60	53	14	1	170
60	60	15	1	156
60	67	17	1	194
60	75	11	1	108
60	82	13	1	195
60	89	12	1	157
60	96	17	1	124
67	3	14	1	178
67	10	10	1	159
67	17	11	1	137
67	25	19	1	180
67	32	13	1	150
67	39	11	1	156
67	46	18	1	152
67	53	19	1	185
67	60	19	1	113
67	67	10	1	184
67	75	17	1	116
67	82	20	1	136
67	89	18	1	103
67	96	11	1	151
75	3	20	1	115
75	10	14	1	184
75	17	18	1	146
75	25	10	1	100
75	32	13	1	105
75	39	12	1	146
75	46	20	1	145
75	53	19	1	116
75	60	14	1	174
75	67	12	1	125
75	75	20	1	172
75	82	10	1	171
75	89	12	1	163
75	96	11	1	199
82	3	18	1	141
82	10	19	1	164
82	17	10	1	100
82	25	17	1	117
82	32	10	1	175
82	39	18	1	144
82	46	15	1	182
82	53	17	1	164
82	60	15	1	153
82	67	14	1	166
82	75	16	1	178
82	82	10	1	121
82	89	14	1	135
82	96	12	1	183
89	3	12	1	197
89	10	11	1	158
89	17	16	1	178
89	25	15	1	139
89	32	11	1	189
89	39	11	1	148
89	46	20	1	189
89	53	13	1	162
89	60	15	1	122
89	67	17	1	126
89	75	17	1	139
89	82	16	1	192
89	89	16	1	108
89	96	17	1	151
96	3	16	1	100
96	10	18	1	165
96	17	16	1	187
96	25	18	1	101
96	32	11	1	138
96	39	20	1	189
96	46	11	1	134
96	53	12	1	200
96	60	19	1	189
96	67	17	1	146
96	75	17	1	122
96	82	14	1	173
96	89	17	1	120
96	96	13	1	200
